,Race,Sex,Region,State,Race Victim,Sex Victim,Race2,Race3,Race4,Victim
33,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
34,Other,Male,South,Louisiana,White,Male,White,White Male,White Male,1
35,White,Male,South,Texas,White,Male,White,White Male,White Male,1
36,White,Female,South,North Carolina,White,Male,White,White Male,White Male,1
37,White,Male,South,Florida,White,Male,White,White Male,White Male,1
38,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
39,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
40,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
41,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
42,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
43,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
44,Other,Male,South,Georgia,White,Female,White,White Female,White Female,1
45,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
46,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
47,White,Male,South,Texas,White,Male,White,White Male,White Male,1
48,White,Male,South,Florida,White,Male,White,White Male,White Male,1
49,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
50,White,Male,South,Florida,White,Male,White,White Male,White Male,1
51,White,Male,South,Texas,White,Female,White,White Female,White Female,1
52,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
53,Other,Male,South,Georgia,White,Female,White,White Female,White Female,1
54,Other,Male,South,Georgia,White,Female,White,White Female,White Female,1
55,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
56,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
57,Other,Male,South,Texas,Asian,Male,Other,Other Male,Asian Male,1
58,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
59,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
60,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
61,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
62,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
63,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
64,Other,Male,South,Texas,Black,Female,Other,Other Female,Black Female,1
65,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
66,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
67,White,Male,South,Texas,White,Male,White,White Male,White Male,1
68,White,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
69,White,Male,West,Nevada,White,Female,White,White Female,White Female,1
70,White,Male,South,South Carolina,White,Male,White,White Male,White Male,1
71,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
72,White,Male,South,Texas,White,Male,White,White Male,White Male,1
73,Other,Male,South,Alabama,White,Male,White,White Male,White Male,1
74,Other,Male,South,Florida,White,Female,White,White Female,White Female,1
75,White,Male,South,Texas,White,Female,White,White Female,White Female,1
76,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
77,Other,Male,South,Florida,White,Female,White,White Female,White Female,1
78,White,Male,South,Texas,White,Female,White,White Female,White Female,1
79,White,Male,South,Texas,White,Female,White,White Female,White Female,1
80,White,Male,South,Florida,White,Male,White,White Male,White Male,1
81,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
82,White,Male,South,Texas,White,Male,White,White Male,White Male,1
83,Other,Male,South,Georgia,White,Female,White,White Female,White Female,1
84,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
85,White,Male,South,Texas,White,Female,White,White Female,White Female,1
86,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
87,White,Male,South,Texas,White,Female,White,White Female,White Female,1
88,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
89,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
90,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
91,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
92,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
93,Other,Male,South,Georgia,Black,Female,Other,Other Female,Black Female,1
94,Other,Male,South,Mississippi,White,Male,White,White Male,White Male,1
95,Other,Male,South,Georgia,White,Female,White,White Female,White Female,1
96,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
97,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
98,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
99,Other,Male,South,Louisiana,White,Female,White,White Female,White Female,1
100,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
101,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
102,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
103,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
104,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
105,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
106,White,Male,South,Texas,White,Female,White,White Female,White Female,1
107,Other,Male,South,Mississippi,Asian,Male,Other,Other Male,Asian Male,1
108,Other,Male,South,Louisiana,White,Female,White,White Female,White Female,1
109,Other,Male,South,Louisiana,White,Female,White,White Female,White Female,1
110,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
111,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
112,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
113,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
114,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
115,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
116,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
117,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
118,White,Male,South,Alabama,White,Male,White,White Male,White Male,1
119,Other,Male,West,Utah,White,Male,White,White Male,White Male,1
120,Other,Male,West,Utah,White,Female,White,White Female,White Female,1
121,Other,Male,West,Utah,White,Female,White,White Female,White Female,1
122,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
123,White,Male,South,Texas,White,Male,White,White Male,White Male,1
124,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
125,White,Male,South,Texas,White,Female,White,White Female,White Female,1
126,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
127,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
128,Other,Male,South,Louisiana,Black,Male,Other,Other Male,Black Male,1
129,Other,Male,South,Louisiana,Black,Female,Other,Other Female,Black Female,1
130,Other,Male,South,Louisiana,Black,Female,Other,Other Female,Black Female,1
131,Other,Male,South,Louisiana,Black,Female,Other,Other Female,Black Female,1
132,Other,Male,South,Louisiana,Black,Female,Other,Other Female,Black Female,1
133,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
134,White,Male,West,Utah,White,Male,White,White Male,White Male,1
135,White,Male,West,Utah,White,Male,White,White Male,White Male,1
136,White,Male,West,Utah,White,Male,White,White Male,White Male,1
137,White,Male,West,Utah,White,Male,White,White Male,White Male,1
138,White,Male,West,Utah,White,Male,White,White Male,White Male,1
139,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
140,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
141,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
142,White,Male,South,Florida,White,Female,White,White Female,White Female,1
143,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
144,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
145,White,Male,South,Florida,White,Female,White,White Female,White Female,1
146,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
147,White,Male,South,Florida,White,Female,White,White Female,White Female,1
148,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
149,White,Male,South,Texas,White,Female,White,White Female,White Female,1
150,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
151,White,Male,West,Nevada,White,Male,White,White Male,White Male,1
152,Other,Male,South,Mississippi,Black,Male,Other,Other Male,Black Male,1
153,White,Male,West,Nevada,White,Male,White,White Male,White Male,1
154,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
155,Other,Male,South,Alabama,Black,Female,Other,Other Female,Black Female,1
156,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
157,White,Male,South,Texas,White,Male,White,White Male,White Male,1
158,Other,Male,South,Alabama,Black,Female,Other,Other Female,Black Female,1
159,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
160,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
161,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
162,White,Male,South,South Carolina,White,Female,White,White Female,White Female,1
163,White,Male,South,Florida,White,Male,White,White Male,White Male,1
164,White,Male,South,Florida,White,Male,White,White Male,White Male,1
165,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
166,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
167,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
168,White,Male,South,Texas,White,Male,White,White Male,White Male,1
169,Other,Male,South,Louisiana,White,Male,White,White Male,White Male,1
170,White,Male,West,Nevada,White,Female,White,White Female,White Female,1
171,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
172,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
173,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
174,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
175,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
176,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
177,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
178,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
179,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
180,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
181,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
182,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
183,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
184,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
185,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
186,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
187,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
188,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
189,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
190,White,Male,South,Texas,White,Male,White,White Male,White Male,1
191,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
192,Other,Male,South,Florida,White,Female,White,White Female,White Female,1
193,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
194,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
195,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
196,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
197,White,Male,Midwest,Illinois,White,Female,White,White Female,White Female,1
198,White,Male,South,Florida,White,Female,White,White Female,White Female,1
199,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
200,White,Male,South,Florida,White,Male,White,White Male,White Male,1
201,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
202,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
203,White,Male,South,Florida,White,Female,White,White Female,White Female,1
204,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
205,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
206,White,Male,South,Texas,White,Male,White,White Male,White Male,1
207,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
208,Other,Male,South,Louisiana,Black,Female,Other,Other Female,Black Female,1
209,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
210,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
211,Other,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
212,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
213,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
214,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
215,White,Male,South,South Carolina,Black,Male,Other,Other Male,Black Male,1
216,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
217,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
218,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
219,White,Male,South,Texas,White,Male,White,White Male,White Male,1
220,White,Male,West,Wyoming,White,Male,White,White Male,White Male,1
221,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
222,Other,Male,South,Arkansas,White,Male,White,White Male,White Male,1
223,White,Male,South,Texas,White,Female,White,White Female,White Female,1
224,White,Male,South,Texas,White,Male,White,White Male,White Male,1
225,White,Male,South,Texas,White,Female,White,White Female,White Female,1
226,White,Male,South,Texas,White,Female,White,White Female,White Female,1
227,Other,Male,South,Oklahoma,Asian,Male,Other,Other Male,Asian Male,1
228,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
229,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
230,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
231,White,Male,South,Delaware,White,Female,White,White Female,White Female,1
232,White,Male,South,Delaware,White,Female,White,White Female,White Female,1
233,White,Male,South,Alabama,White,Female,White,White Female,White Female,1
234,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
235,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
236,White,Male,West,California,White,Male,White,White Male,White Male,1
237,White,Male,West,California,White,Male,White,White Male,White Male,1
238,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
239,White,Male,South,Texas,White,Female,White,White Female,White Female,1
240,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
241,White,Male,South,Florida,White,Female,White,White Female,White Female,1
242,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
243,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
244,White,Male,South,Texas,White,Female,White,White Female,White Female,1
245,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
246,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
247,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
248,Other,Male,West,Utah,White,Male,White,White Male,White Male,1
249,Other,Male,West,Utah,White,Female,White,White Female,White Female,1
250,Other,Male,West,Utah,White,Female,White,White Female,White Female,1
251,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
252,Other,Male,South,Virginia,Black,Male,Other,Other Male,Black Male,1
253,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
254,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
255,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
256,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
257,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
258,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
259,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
260,Other,Male,South,Alabama,White,Female,White,White Female,White Female,1
261,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
262,White,Male,South,Virginia,Asian,Female,Other,Other Female,Asian Female,1
263,White,Male,West,Washington,White,Male,White,White Male,White Male,1
264,White,Male,West,Washington,White,Male,White,White Male,White Male,1
265,White,Male,West,Washington,White,Male,White,White Male,White Male,1
266,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
267,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
268,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
269,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
270,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
271,Other,Male,South,Delaware,White,Male,White,White Male,White Male,1
272,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
273,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
274,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
275,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
276,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
277,Other,Male,South,Virginia,Black,Female,Other,Other Female,Black Female,1
278,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
279,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
280,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
281,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
282,White,Male,West,Arizona,White,Male,White,White Male,White Male,1
283,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
284,White,Male,South,Florida,White,Male,White,White Male,White Male,1
285,White,Male,South,Florida,White,Male,White,White Male,White Male,1
286,White,Male,South,Florida,White,Male,White,White Male,White Male,1
287,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
288,White,Male,South,Florida,White,Male,White,White Male,White Male,1
289,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
290,White,Male,South,Texas,White,Female,White,White Female,White Female,1
291,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
292,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
293,White,Male,South,Texas,White,Female,White,White Female,White Female,1
294,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
295,Other,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
296,Other,Male,Midwest,Missouri,Black,Female,Other,Other Female,Black Female,1
297,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
298,White,Male,South,Texas,White,Male,White,White Male,White Male,1
299,White,Male,South,Texas,White,Female,White,White Female,White Female,1
300,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
301,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
302,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
303,White,Male,West,California,White,Male,White,White Male,White Male,1
304,White,Male,West,California,White,Male,White,White Male,White Male,1
305,White,Male,West,California,White,Female,White,White Female,White Female,1
306,White,Male,West,California,White,Female,White,White Female,White Female,1
307,White,Male,West,California,White,Female,White,White Female,White Female,1
308,White,Male,South,Florida,White,Female,White,White Female,White Female,1
309,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
310,Other,Male,South,Delaware,White,Female,White,White Female,White Female,1
311,White,Male,South,Texas,White,Female,White,White Female,White Female,1
312,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
313,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
314,White,Male,Midwest,Missouri,White,Male,White,White Male,White Male,1
315,White,Male,South,Texas,White,Male,White,White Male,White Male,1
316,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
317,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
318,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
319,White,Male,West,Idaho,White,Male,White,White Male,White Male,1
320,White,Male,West,Idaho,White,Female,White,White Female,White Female,1
321,White,Male,South,Texas,Asian,Male,Other,Other Male,Asian Male,1
322,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
323,Other,Male,South,Texas,Latino,Male,Other,Other Male,Latino Male,1
324,Other,Male,South,Georgia,Black,Female,Other,Other Female,Black Female,1
325,White,Male,South,Texas,White,Male,White,White Male,White Male,1
326,White,Male,South,Florida,White,Female,White,White Female,White Female,1
327,White,Male,South,Texas,White,Female,White,White Female,White Female,1
328,Other,Male,South,Virginia,White,Female,White,White Female,White Female,1
329,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
330,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
331,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
332,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
333,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
334,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
335,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
336,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
337,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
338,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
339,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
340,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
341,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
342,Other,Male,South,Arkansas,Black,Male,Other,Other Male,Black Male,1
343,White,Male,South,Arkansas,White,Female,White,White Female,White Female,1
344,White,Male,South,Maryland,White,Male,White,White Male,White Male,1
345,White,Male,South,Texas,White,Male,White,White Male,White Male,1
346,White,Male,West,Washington,White,Female,White,White Female,White Female,1
347,White,Male,West,Washington,White,Female,White,White Female,White Female,1
348,White,Male,West,Washington,White,Female,White,White Female,White Female,1
349,White,Male,South,Texas,White,Male,White,White Male,White Male,1
350,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
351,Other,Male,South,Delaware,Black,Male,Other,Other Male,Black Male,1
352,Other,Male,South,Delaware,Black,Female,Other,Other Female,Black Female,1
353,White,Male,South,Texas,White,Male,White,White Male,White Male,1
354,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
355,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
356,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
357,Other,Male,Midwest,Nebraska,White,Female,White,White Female,White Female,1
358,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
359,White,Male,South,Texas,White,Male,White,White Male,White Male,1
360,White,Male,South,Texas,White,Male,White,White Male,White Male,1
361,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
362,White,Male,South,Texas,White,Male,White,White Male,White Male,1
363,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
364,Other,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
365,White,Male,South,Texas,White,Male,White,White Male,White Male,1
366,White,Male,South,Texas,White,Female,White,White Female,White Female,1
367,Other,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
368,White,Male,South,North Carolina,Black,Female,Other,Other Female,Black Female,1
369,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
370,White,Male,South,Texas,White,Male,White,White Male,White Male,1
371,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
372,White,Male,South,Texas,Latino,Female,Other,Other Female,Latino Female,1
373,White,Male,South,Texas,White,Female,White,White Female,White Female,1
374,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
375,White,Male,South,Delaware,White,Male,White,White Male,White Male,1
376,White,Male,South,Oklahoma,Black,Female,Other,Other Female,Black Female,1
377,Other,Male,Midwest,Illinois,White,Female,White,White Female,White Female,1
378,White,Male,Midwest,Illinois,White,Female,White,White Female,White Female,1
379,White,Male,South,Texas,White,Male,White,White Male,White Male,1
380,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
381,White,Male,South,Arkansas,White,Male,White,White Male,White Male,1
382,Other,Male,South,Alabama,Black,Male,Other,Other Male,Black Male,1
383,White,Male,Northeast,Pennsylvania,White,Male,White,White Male,White Male,1
384,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
385,White,Male,West,Montana,White,Female,White,White Female,White Female,1
386,Other,Male,South,Alabama,Black,Male,Other,Other Male,Black Male,1
387,Other,Male,South,Louisiana,Black,Male,Other,Other Male,Black Male,1
388,Other,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
389,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
390,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
391,White,Male,South,Texas,White,Male,White,White Male,White Male,1
392,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
393,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
394,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
395,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
396,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
397,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
398,White,Male,South,Oklahoma,White,Male,White,White Male,White Male,1
399,White,Male,South,Oklahoma,Black,Male,Other,Other Male,Black Male,1
400,White,Male,South,Oklahoma,Latino,Male,Other,Other Male,Latino Male,1
401,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
402,White,Male,South,Florida,White,Male,White,White Male,White Male,1
403,White,Male,South,Florida,Latino,Male,Other,Other Male,Latino Male,1
404,White,Male,South,Florida,Latino,Male,Other,Other Male,Latino Male,1
405,White,Male,South,Florida,Latino,Male,Other,Other Male,Latino Male,1
406,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
407,Other,Male,Midwest,Missouri,Black,Male,Other,Other Male,Black Male,1
408,White,Male,South,Oklahoma,White,Female,White,White Female,White Female,1
409,Other,Male,South,Texas,White,Female,White,White Female,White Female,1
410,White,Male,Northeast,Pennsylvania,White,Female,White,White Female,White Female,1
411,White,Male,Northeast,Pennsylvania,White,Female,White,White Female,White Female,1
412,White,Male,Northeast,Pennsylvania,White,Female,White,White Female,White Female,1
413,Other,Male,South,South Carolina,Black,Male,Other,Other Male,Black Male,1
414,Other,Male,South,Arkansas,White,Female,White,White Female,White Female,1
415,White,Male,West,Arizona,White,Female,White,White Female,White Female,1
416,Other,Male,South,Texas,Black,Male,Other,Other Male,Black Male,1
417,White,Male,Midwest,Illinois,White,Female,White,White Female,White Female,1
418,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
419,White,Male,South,North Carolina,White,Female,White,White Female,White Female,1
420,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
421,White,Male,South,Texas,White,Female,White,White Female,White Female,1
422,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
423,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
424,White,Male,South,Virginia,White,Female,White,White Female,White Female,1
425,Other,Male,South,Virginia,White,Male,White,White Male,White Male,1
426,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
427,White,Male,Midwest,Illinois,White,Male,White,White Male,White Male,1
428,White,Male,Midwest,Missouri,White,Female,White,White Female,White Female,1
